timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,net_received,net_sent,load1,label
1774303674,k3s-control,46.97987,6.711409,0.0,1206.4805,52.58462,300.0601,2.29,0
1774303674,k3s-worker-2,10.1522841,3.045685,0.0,450.2969,604.9994,144.15081,3.65,0
1774303674,k3s-worker-3,4.5226132,2.5125631,0.0,623.3164,76.93919,267.8503,0.02,0
1774303677,k3s-control,48.7012994,9.7402599,0.0,1203.8438,181.1478,533.4239,2.29,0
1774303677,k3s-worker-2,11.6751267,7.1065988,1.0152284,453.1641,764.6531,232.67,3.65,0
1774303677,k3s-worker-3,5.5,3.0,0.0,623.0703,63.53019,262.7097,0.02,0
1774303679,k3s-control,52.0547936,8.9041106,0.0,1187.7148,193.2306,510.1436,2.34,0
1774303679,k3s-worker-2,9.7435896,4.1025638,9.7435896,449.4727,723.7702,215.6704,3.35,0
1774303679,k3s-worker-3,4.5685278,2.0304569,0.0,623.0703,85.45615,296.018,0.02,0
1774303681,k3s-control,92.1568624,5.8823532,0.0,1197.4258,197.9437,534.6821,2.34,0
1774303681,k3s-worker-2,9.6446698,4.0609139,0.0,449.4727,735.2854,226.2974,3.35,0
1774303681,k3s-worker-3,4.5226132,2.0100501,0.0,623.0703,88.49679,274.5317,0.02,0
1774303684,k3s-control,74.7826091,10.4347829,0.0,1196.5547,160.1025,468.8066,2.64,0
1774303684,k3s-worker-2,11.6751269,4.5685279,8.6294419,458.4922,700.4101,188.779,3.317836,0
1774303684,k3s-worker-3,5.5276381,1.5075377,0.0,622.8242,81.23353,269.4086,0.01,0
1774303687,k3s-control,70.1754386,13.1578947,0.0,1195.0508,189.8965,533.0082,2.64,0
1774303687,k3s-worker-2,10.2564101,6.153846,12.8205131,453.1328,662.2229,174.437,3.08,0
1774303687,k3s-worker-3,5.5837558,2.0304569,0.0,622.5781,91.29383,278.7647,0.01,0
1774303690,k3s-control,76.4150929,15.0943406,0.0,1185.8203,220.536,558.9953,2.644013,0
1774303690,k3s-worker-2,8.1632653,3.5714291,1.0204082,453.1328,646.1513,184.8092,2.84,0
1774303690,k3s-worker-3,4.5454552,1.5151516,0.0,622.332,77.90464,264.2339,0.01,0
1774303693,k3s-control,71.9298229,11.4035095,0.0,1204.1211,159.50005,473.3254,2.67,0
1774303693,k3s-worker-2,7.6530608,3.0612239,0.5102041,453.1328,646.5121,174.7244,2.84,0
1774303693,k3s-worker-3,4.5454551,2.5252531,0.0,622.0859,71.27392,256.5763,0.01,0
1774303695,k3s-control,83.1683175,13.8613856,0.0,1219.8984,153.88159,519.5051,2.67,0
1774303695,k3s-worker-2,8.6734691,3.061224,9.6938781,453.1328,721.3517,218.8308,2.61,0
1774303695,k3s-worker-3,7.5376881,3.517588,0.0,615.6875,78.82388,268.0698,0.01,0
1774303697,k3s-control,48.550722,10.8695655,0.0,1188.0234,201.7117,578.3036,4.13,0
1774303697,k3s-worker-2,8.1632652,5.1020411,9.6938782,457.2969,748.2976,215.0659,2.61,0
1774303697,k3s-worker-3,4.5685278,2.0304569,0.0,615.6875,88.35403,279.6729,0.01,0
1774303700,k3s-control,75.0000001,12.037037,0.0,1198.3242,216.655,514.175,4.13,0
1774303700,k3s-worker-2,11.7948721,5.128205,2.051282,455.5859,713.1642,235.3946,2.64,0
1774303700,k3s-worker-3,4.5454551,2.0202021,0.0,615.6875,86.61433,286.4965,0.01,0
1774303702,k3s-control,82.0,14.0,0.0,1196.4766,207.7322,570.3224,4.44,0
1774303702,k3s-worker-2,10.1010105,4.0404042,10.1010105,454.3555,753.727,235.3044,2.64,0
1774303702,k3s-worker-3,4.5454551,2.0202021,0.0,615.6875,84.06857,276.5465,0.01,0
1774303705,k3s-control,71.0526307,9.6491231,0.0,1193.8711,170.6278,505.3452,4.44,0
1774303705,k3s-worker-2,9.1370562,4.0609141,3.5532991,456.2617,660.7534,173.3652,2.64,0
1774303705,k3s-worker-3,4.568528,1.5228426,0.0,622.2227,97.02813,1387.0858,0.01,0
1774303708,k3s-control,79.0476184,8.5714288,0.0,1194.8828,222.0538,585.9327,4.38,0
1774303708,k3s-worker-2,13.6363643,8.5858592,3.0303031,455.7812,768.0545,1853.033,2.43,0
1774303708,k3s-worker-3,5.0505051,2.0202021,0.0,621.9766,72.43662,264.6602,0.01,0
1774303710,k3s-control,47.1910087,9.5505617,0.0,1201.1367,201.9211,501.8117,4.38,0
1774303710,k3s-worker-2,11.1675128,4.5685279,8.6294419,454.5664,715.9864,220.4681,2.43,0
1774303710,k3s-worker-3,4.5454551,2.0202021,0.0,621.9766,77.46213,270.5152,0.01,0
1774303713,k3s-control,81.0,15.0,0.0,1200.8672,234.3077,1610.0541,4.59,0
1774303713,k3s-worker-2,9.6446701,5.0761421,1.5228426,454.5664,757.5756,255.1562,2.06,0
1774303713,k3s-worker-3,4.568528,1.5228426,0.0,621.9766,73.90361,265.6637,0.01,0
1774303715,k3s-control,53.4246563,10.9589032,0.0,1196.4375,203.7667,548.8452,4.59,0
1774303715,k3s-worker-2,8.121827,4.060914,0.0,452.3516,643.9121,163.79887,2.06,0
1774303715,k3s-worker-3,5.0505052,2.0202021,0.0,621.7305,61.53096,251.3578,0.01,0
1774303717,k3s-control,61.7886199,11.382114,0.0,1198.1992,218.989,539.3876,4.62,0
1774303717,k3s-worker-2,9.6446698,3.5532989,3.5532989,448.6602,686.0312,198.4176,1.89,0
1774303717,k3s-worker-3,7.0707071,2.020202,0.0,621.4844,117.55125,307.7164,0.01,0
1774303721,k3s-control,53.90625,12.5,0.0,1188.4961,184.3449,521.7328,4.62,0
1774303721,k3s-worker-2,8.6294418,5.0761419,0.0,448.6602,662.7403,196.0821,1.89,0
1774303721,k3s-worker-3,4.5226129,2.0100499,0.0,621.4844,76.38599,267.9569,0.01,0
1774303723,k3s-control,68.9655152,10.3448273,0.0,1191.6641,132.71694,398.01,4.57,0
1774303723,k3s-worker-2,8.1218275,3.5532992,0.0,458.0781,686.4835,185.1258,1.74,0
1774303723,k3s-worker-3,4.5685278,2.0304569,0.0,621.2383,112.88144,266.8712,0.01,0
1774303726,k3s-control,67.5438614,12.2807022,0.877193,1178.6719,161.00506,731.3713,4.57,0
1774303726,k3s-worker-2,13.3333332,5.6410261,8.7179491,452.2109,724.4902,201.0813,1.74,0
1774303726,k3s-worker-3,5.0761421,1.5228426,0.0,618.7773,78.66791,268.6019,0.01,0
1774303729,k3s-control,71.0526307,11.4035091,0.0,1181.207,209.6707,553.0017,6.45,0
1774303729,k3s-worker-2,9.1836734,4.5918372,10.2040824,451.7461,676.7218,215.7918,1.6,0
1774303729,k3s-worker-3,4.5454551,2.5252531,0.0,618.7773,78.95276,276.1932,0.01,0
1774303731,k3s-control,91.1764705,6.862745,0.0,1187.1875,157.84711,474.7003,6.45,0
1774303731,k3s-worker-2,9.183673,4.081633,2.55102,451.5,699.8995,213.8886,1.6,0
1774303731,k3s-worker-3,4.5226132,2.0100501,0.5025126,618.7773,96.7242,283.0407,0.01,0
1774303733,k3s-control,45.810057,7.8212285,0.0,1206.0586,188.7455,497.6053,6.45,0
1774303733,k3s-worker-2,9.1370562,4.5685281,0.0,450.7734,771.0608,252.4315,1.6,0
1774303733,k3s-worker-3,7.070707,3.030303,0.0,623.3477,81.03239,273.0379,0.01,0
1774303736,k3s-control,58.8235299,11.029412,0.0,1205.4258,186.1467,526.8196,5.93,0
1774303736,k3s-worker-2,11.2244901,5.6122451,0.0,455.6484,690.6502,222.087,1.47,0
1774303736,k3s-worker-3,4.5454551,2.0202021,0.0,622.6484,82.70611,269.6735,0.0,1
1774303738,k3s-control,67.5000003,10.833333,0.0,1199.4609,202.456,539.3392,5.93,0
1774303738,k3s-worker-2,10.2564097,5.1282048,6.6666668,449.0156,787.86,261.7639,1.47,0
1774303738,k3s-worker-3,26.53061,12.244898,14.795918,537.2539,141.52062,376.1103,0.0,1
1774303741,k3s-control,67.8260877,14.7826085,0.0,1201.6445,160.81311,484.4852,5.77,0
1774303741,k3s-worker-2,8.5858586,4.5454548,17.1717191,454.9102,690.2835,177.9779,1.35,0
1774303741,k3s-worker-3,71.5,28.5,0.0,882.9453,63.50582,291.5924,0.32,1
1774303744,k3s-control,91.0891091,7.9207919,0.0,1191.1328,170.2266,532.3471,5.77,0
1774303744,k3s-worker-2,9.1370563,5.0761422,10.1522844,450.7383,686.4531,157.09108,1.35,0
1774303744,k3s-worker-3,72.5,27.5,0.0,880.0664,46.09743,275.9267,0.32,1
1774303746,k3s-control,49.418602,8.7209303,0.0,1195.8008,171.4392,455.5992,6.67,0
1774303746,k3s-worker-2,12.3076922,5.1282051,0.0,453.2695,736.9269,198.848,1.24,0
1774303746,k3s-worker-3,61.03286,38.96714,0.0,619.375,60.0441,180.5967,0.32,1
1774303749,k3s-control,68.4210534,11.4035096,0.0,1212.3047,182.7393,478.7854,6.67,0
1774303749,k3s-worker-2,8.6734693,5.1020411,6.6326532,450.0977,683.5833,161.38765,1.24,0
1774303749,k3s-worker-3,73.0,27.0,0.0,994.2383,52.99429,267.806,0.54,1
1774303752,k3s-control,78.3018875,15.0943395,0.0,1197.2695,222.3344,557.4926,6.11,0
1774303752,k3s-worker-2,8.6734688,4.5918369,12.7551017,449.3594,762.4557,225.0296,1.38,0
1774303752,k3s-worker-3,72.2772304,27.2277201,0.0,1053.4258,65.78164,270.3065,0.54,1
1774303754,k3s-control,72.173912,12.1739133,0.0,1186.418,171.139,498.1416,6.11,0
1774303754,k3s-worker-2,10.2040815,3.5714288,0.0,447.2383,702.0274,182.5901,1.38,0
