run_id,kind,status,rows,anomaly_rows,anomaly_ratio,timestamp_span_s,null_cells,issues
run_001,stress,pass,626,119,0.1901,667,0,
run_002,stress,pass,663,111,0.1674,670,0,
run_003,stress,pass,812,157,0.1933,730,0,
run_004,stress,pass,681,128,0.188,670,0,
run_005,stress,pass,840,164,0.1952,820,0,
run_006,stress,pass,690,120,0.1739,670,0,
run_007,stress,pass,720,131,0.1819,700,0,
run_008,stress,pass,741,139,0.1876,729,0,
run_009,stress,pass,587,90,0.1533,819,0,
run_010,stress,pass,744,147,0.1976,695,0,
run_011,stress,pass,750,137,0.1827,732,0,
run_012,stress,pass,796,154,0.1935,789,0,
run_013,stress,pass,792,151,0.1907,790,0,
run_014,stress,pass,747,140,0.1874,729,0,
run_015,stress,pass,831,181,0.2178,850,0,
run_016,control,pass,312,0,0.0,239,0,
run_017,control,pass,345,0,0.0,240,0,
run_018,control,pass,336,0,0.0,240,0,
run_019,control,pass,336,0,0.0,240,0,
run_020,control,pass,327,0,0.0,239,0,
