timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,net_received,net_sent,load1,label
1773168485,k3s-control,33.8461514,5.6410262,0.0,1613.7305,69.67128,368.3961,0.36,0
1773168485,k3s-worker-2,8.6734688,3.5714289,0.0,285.8203,387.1813,110.10206,0.13,0
1773168486,k3s-control,39.1959798,5.527638,0.0,1612.7852,173.3961,512.0534,0.33,0
1773168486,k3s-worker-2,17.3469392,11.7346935,1.5306121,284.0977,491.5178,1768.001,0.12,0
1773168488,k3s-control,41.3265287,5.6122448,0.0,1609.0938,193.6234,541.4297,0.33,0
1773168488,k3s-worker-2,10.7692314,3.5897441,0.5128205,301.918,497.4615,173.4958,0.12,0
1773168490,k3s-control,71.5517214,9.4827592,0.0,1609.125,149.50474,525.2477,0.33,0
1773168490,k3s-worker-2,11.1675131,5.076142,0.0,301.1914,471.8363,146.1956,0.11,0
1773168492,k3s-control,50.0000017,7.2368422,0.0,1608.6914,170.5106,543.7752,0.31,0
1773168492,k3s-worker-2,8.7628867,5.1546388,0.0,300.6992,491.0676,162.83522,0.11,0
1773168495,k3s-control,41.8604665,5.8139525,0.0,1603.9531,190.3679,571.6584,0.31,0
1773168495,k3s-worker-2,7.6923077,5.1282048,0.0,299.2227,413.9326,136.10155,0.1,0
1773168497,k3s-control,75.6756763,11.7117114,0.0,1607.4414,118.63855,454.6142,0.31,0
1773168497,k3s-worker-2,8.163265,4.591837,0.0,293.3164,422.7781,110.71519,0.1,0
1773168499,k3s-control,53.5947717,7.1895422,0.0,1608.6367,129.77828,495.4536,0.28,0
1773168499,k3s-worker-2,7.6923078,4.6153849,0.0,293.3164,429.6427,109.73696,0.1,0
1773168501,k3s-control,39.2265183,5.5248618,0.0,1608.6367,189.8777,509.4401,0.28,0
1773168501,k3s-worker-2,9.0909095,5.0505053,0.5050505,293.3164,452.6169,139.81944,0.09,0
1773168503,k3s-control,43.5294103,7.058824,0.0,1622.043,127.13605,485.2014,0.28,0
1773168503,k3s-worker-2,9.6938783,4.5918371,0.0,293.0742,469.0563,147.58042,0.09,0
1773168505,k3s-control,40.211641,6.3492062,1.0582011,1621.9883,132.87576,490.1724,0.24,0
1773168505,k3s-worker-2,9.7938143,4.6391751,0.0,293.0742,451.5697,124.61181,0.09,0
1773168507,k3s-control,39.8963697,7.2538859,0.0,1616.0977,136.69728,467.3427,0.24,0
1773168507,k3s-worker-2,9.7435904,5.1282052,0.0,293.0742,429.9261,131.67356,0.09,0
1773168509,k3s-control,41.9191908,7.5757582,0.0,1607.3945,184.8283,575.2047,0.22,0
1773168509,k3s-worker-2,8.7179486,4.6153848,0.0,293.0742,483.8611,160.96832,0.09,0
1773168511,k3s-control,42.1319799,5.583756,0.0,1606.4102,150.32705,507.2907,0.22,0
1773168511,k3s-worker-2,10.3092781,5.6701031,0.5154639,293.0742,469.1564,144.90375,0.09,0
1773168513,k3s-control,37.2449003,5.6122451,0.0,1606.1641,152.73611,522.58,0.22,0
1773168513,k3s-worker-2,7.7319592,4.6391751,0.0,295.8477,464.1323,140.28177,0.08,0
1773168515,k3s-control,39.8989912,6.0606062,0.0,1604.9375,183.2362,523.4904,0.2,0
1773168515,k3s-worker-2,8.2051278,4.1025639,0.0,295.6016,474.062,163.32611,0.08,0
1773168517,k3s-control,38.578678,6.0913707,0.0,1603.9531,130.24726,476.6488,0.2,0
1773168517,k3s-worker-2,9.7938139,5.6701029,0.0,292.3047,428.7758,127.49216,0.08,0
1773168519,k3s-control,55.1546395,6.1855669,0.0,1603.4609,140.16066,476.9641,0.2,0
1773168519,k3s-worker-2,10.1010104,4.5454552,0.0,291.8242,459.5424,151.87991,0.07,0
1773168521,k3s-control,41.1167503,6.5989851,0.0,1602.9688,157.48607,534.4589,0.18,0
1773168521,k3s-worker-2,8.1632647,5.1020408,0.0,291.5781,475.8383,157.56619,0.07,0
1773168523,k3s-control,40.8163296,7.1428569,0.0,1602.2773,174.9479,529.3494,0.18,0
1773168523,k3s-worker-2,9.2307694,5.6410262,0.0,291.5781,496.2705,173.1994,0.07,0
1773168525,k3s-control,39.2857135,7.1428576,0.0,1601.3047,191.4061,557.1162,0.18,0
1773168525,k3s-worker-2,11.2820514,4.6153852,0.0,291.332,459.9571,163.00375,0.06,0
1773168527,k3s-control,40.3061203,7.6530611,0.0,1599.2188,261.5539,644.4704,0.17,0
1773168527,k3s-worker-2,10.7692312,6.1538461,0.5128205,290.5664,550.1051,213.5478,0.06,0
1773168528,k3s-control,40.5128214,5.6410262,0.0,1599.2578,133.96829,473.4404,0.17,0
1773168528,k3s-worker-2,8.2051276,5.6410257,0.0,290.0977,478.7878,133.62605,0.06,0
